,Description,Timing,Open Book Exam,Component Scale,Must Pass Component,% of Final Grade,Assessment Type,Module Code,Scaled % of Final Grade,Work Type,Level,Credits,School,Module Coordinator,Semester,Enrolled Students 22/23,Stage,Student Credits,Assessment Credits
225,Class Test: 2 no. Brightspace quizzes throughout the trimester.,Varies over the Trimester,,Graded,No,20,Class Test,CVEN20130,20,In person,2,5.0,Civil Engineering,Assoc Professor John O'Sullivan,Autumn,31,,31.0,1.0
226,Examination: End of trimester examination,2 hour End of Trimester Exam,No,Graded,No,60,Examination,CVEN20130,60,In person,2,5.0,Civil Engineering,Assoc Professor John O'Sullivan,Autumn,31,,93.0,3.0
227,"Continuous Assessment: THIS MODULE DOES NOT HAVE AN END-OF-SEMESTER EXAMINATION. The assessment of the module is based on the marks obtained in assignments, reports and presentations that are submitted through the semester.",Throughout the Trimester,,Graded,No,100,Continuous Assessment,CVEN20140,100,At home,2,5.0,Civil Engineering,Dr Yao Sun,Spring,52,,260.0,5.0
228,Assignment: Tutorials and Labs,Varies over the Trimester,,Standard conversion grade scale 40%,No,20,Assignment,CVEN30010,20,At home,3,5.0,Civil Engineering,Assoc Professor Michael Long,Spring,53,,53.0,1.0
229,Examination: NORMAL 2 HOUR EXAM,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,80,Examination,CVEN30010,80,In person,3,5.0,Civil Engineering,Assoc Professor Michael Long,Spring,53,,212.0,4.0
230,"Continuous Assessment: tutorials, assignments, tests",Throughout the Trimester,,Other,No,30,Continuous Assessment,CVEN30020,30,At home,3,5.0,Civil Engineering,Assoc Professor Arturo Gonzalez,Autumn,58,,87.0,1.5
231,Examination: End-of-trimester written exam,2 hour End of Trimester Exam,No,Other,No,70,Examination,CVEN30020,70,In person,3,5.0,Civil Engineering,Assoc Professor Arturo Gonzalez,Autumn,58,,203.0,3.5
232,Examination: End of trimester exam,2 hour End of Trimester Exam,No,Graded,No,70,Examination,CVEN30040,70,In person,3,5.0,Civil Engineering,Dr Daniel McCrum,Autumn,57,,199.5,3.5
233,"Continuous Assessment: Mixture of assessment: assignments, tutorials etc",Varies over the Trimester,,Graded,No,30,Continuous Assessment,CVEN30040,30,At home,3,5.0,Civil Engineering,Dr Daniel McCrum,Autumn,57,,85.5,1.5
234,Continuous Assessment: Tutorial exercises and module laboratories,Throughout the Trimester,,Graded,No,20,Continuous Assessment,CVEN30060,20,At home,3,5.0,Civil Engineering,Assoc Professor John O'Sullivan,Spring,32,,32.0,1.0
235,Examination: End of trimester examination,2 hour End of Trimester Exam,No,Graded,No,60,Examination,CVEN30060,60,In person,3,5.0,Civil Engineering,Assoc Professor John O'Sullivan,Spring,32,,96.0,3.0
236,Multiple Choice Questionnaire (Short): 2 no. Brightspace quizzes,Throughout the Trimester,,Graded,No,20,Multiple Choice Questionnaire,CVEN30060,20,Blended,3,5.0,Civil Engineering,Assoc Professor John O'Sullivan,Spring,32,,32.0,1.0
237,Assignment: Case studies,Varies over the Trimester,,Standard conversion grade scale 40%,No,20,Assignment,CVEN30090,20,At home,3,5.0,Civil Engineering,Dr David Ayala-Cabrera,Autumn,53,,53.0,1.0
238,Examination: Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,80,Examination,CVEN30090,80,In person,3,5.0,Civil Engineering,Dr David Ayala-Cabrera,Autumn,53,,212.0,4.0
239,Assignment: Individual Design Report,Coursework (End of Trimester),,Standard conversion grade scale 40%,No,100,Assignment,CVEN30100,100,At home,3,5.0,Civil Engineering,Dr Jennifer Keenahan,Autumn,65,,325.0,5.0
240,Class Test: Class test,Week 10,,Graded,No,40,Class Test,CVEN30110,40,In person,3,5.0,Civil Engineering,Dr Páraic Carroll,Autumn,26,,52.0,2.0
241,Presentation: Transport Policy Debate,Week 6,,Graded,No,30,Presentation,CVEN30110,30,In person,3,5.0,Civil Engineering,Dr Páraic Carroll,Autumn,26,,39.0,1.5
242,Group Project: Group project,Coursework (End of Trimester),,Graded,No,30,Group Project,CVEN30110,30,Blended,3,5.0,Civil Engineering,Dr Páraic Carroll,Autumn,26,,39.0,1.5
243,Assignment: Individual assignment on the use of BIM,Varies over the Trimester,,Not yet recorded,No,10,Assignment,CVEN30160,10,At home,3,5.0,Civil Engineering,Dr Ciaran McNally,2 Trimester duration (Aut-Spr),0,,0.0,0.5
244,Group Project: The main component of this module is a group design of a large engineering project. This will be broken down to a number of components that will be assessed over the course of the module,Throughout the Trimester,,Not yet recorded,No,90,Group Project,CVEN30160,90,Blended,3,5.0,Civil Engineering,Dr Ciaran McNally,2 Trimester duration (Aut-Spr),0,,0.0,4.5
245,Examination: End-of-Semester Exam,2 hour End of Trimester Exam,No,Not yet recorded,No,70,Examination,CVEN30170,70,In person,3,5.0,Civil Engineering,Assoc Professor Arturo Gonzalez,Spring,47,,164.5,3.5
246,Continuous Assessment: Tutorials/Assignments/Lab,Throughout the Trimester,,Not yet recorded,No,30,Continuous Assessment,CVEN30170,30,At home,3,5.0,Civil Engineering,Assoc Professor Arturo Gonzalez,Spring,47,,70.5,1.5
247,Continuous Assessment: The main component of this module is a group design of a large engineering project. This will be broken down to a number of components that will be assessed over the course of the module.,Throughout the Trimester,,Standard conversion grade scale 40%,No,100,Continuous Assessment,CVEN30380,200,At home,3,10.0,Civil Engineering,Dr Ciaran McNally,2 Trimester duration (Aut-Spr),0,,0.0,10.0
248,Continuous Assessment: The main component of this module is a group design of a large engineering project. This will be broken down to a number of components that will be assessed over the course of the module.,Throughout the Trimester,,Standard conversion grade scale 40%,No,100,Continuous Assessment,CVEN30390,100,At home,3,5.0,Civil Engineering,Dr Ciaran McNally,Autumn,48,,240.0,5.0
249,Continuous Assessment: The main component of this module is a group design of a large engineering project. This will be broken down to a number of components that will be assessed over the course of the module.,Throughout the Trimester,,Standard conversion grade scale 40%,No,100,Continuous Assessment,CVEN30400,100,At home,3,5.0,Civil Engineering,Dr Ciaran McNally,Spring,45,,225.0,5.0
250,Assignment: Design exercises,Throughout the Trimester,,Graded,No,35,Assignment,CVEN40050,35,At home,4,5.0,Civil Engineering,Professor Eugene O'Brien,Spring,35,,61.25,1.75
251,Examination: End of year examination,2 hour End of Trimester Exam,Yes,Graded,No,65,Examination,CVEN40050,65,In person,4,5.0,Civil Engineering,Professor Eugene O'Brien,Spring,35,,113.75,3.25
252,Examination: In class test,Week 12,No,Graded,No,60,Examination,CVEN40060,60,In person,4,5.0,Civil Engineering,Dr Páraic Carroll,Spring,21,,63.0,3.0
253,Continuous Assessment: Coursework Exercises,Varies over the Trimester,,Graded,No,40,Continuous Assessment,CVEN40060,40,At home,4,5.0,Civil Engineering,Dr Páraic Carroll,Spring,21,,42.0,2.0
254,Continuous Assessment: Assignments & mid-term test,Unspecified,,Standard conversion grade scale 40%,No,25,Continuous Assessment,CVEN40070,25,At home,4,5.0,Civil Engineering,Assoc Professor Patrick Purcell,Spring,18,,22.5,1.25
255,Examination: End of semester exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,75,Examination,CVEN40070,75,In person,4,5.0,Civil Engineering,Assoc Professor Patrick Purcell,Spring,18,,67.5,3.75
256,Assignment: Assignment,Throughout the Trimester,,Standard conversion grade scale 40%,No,60,Assignment,CVEN40080,60,At home,4,5.0,Civil Engineering,Dr Fiachra O'Loughlin,Spring,16,,48.0,3.0
257,Examination: End of semester examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,40,Examination,CVEN40080,40,In person,4,5.0,Civil Engineering,Dr Fiachra O'Loughlin,Spring,16,,32.0,2.0
258,Examination: End of semester,2 hour End of Trimester Exam,No,Graded,No,90,Examination,CVEN40120,90,In person,4,5.0,Civil Engineering,Professor Eugene O'Brien,Spring,24,,108.0,4.5
259,Assignment: Computer lab assignment must be completed and submitted.,Week 7,,Graded,No,10,Assignment,CVEN40120,10,At home,4,5.0,Civil Engineering,Professor Eugene O'Brien,Spring,24,,12.0,0.5
260,Assignment: Student's Report and Employer's Final Report,Varies over the Trimester,,Pass/Fail Grade Scale,No,100,Assignment,CVEN40130,600,At home,4,30.0,Civil Engineering,Assoc Professor John O'Sullivan,2 Trimester duration (Spr-Sum),0,,0.0,30.0
261,Project: Final report and oral examination in Semester 2,Varies over the Trimester,,Graded,No,90,Project,CVEN40190,180,At home,4,10.0,Civil Engineering,Professor Eugene O'Brien,Spring,5,,45.0,9.0
262,"Assignment: Preliminary report, oral presentation, etc. Sem 1",Varies over the Trimester,,Graded,No,5,Assignment,CVEN40190,10,At home,4,10.0,Civil Engineering,Professor Eugene O'Brien,Spring,5,,2.5,0.5
263,Presentation: Final presentation in Semester 2,Varies over the Trimester,,Graded,No,5,Presentation,CVEN40190,10,At home,4,10.0,Civil Engineering,Professor Eugene O'Brien,Spring,5,,2.5,0.5
264,Class Test: Written,Unspecified,,Graded,No,60,Class Test,CVEN40210,60,In person,4,5.0,Civil Engineering,Dr Shane Donohue,Spring,21,,63.0,3.0
265,Project: Site investigation and geotechnical design project to last 6 weeks during semester,Throughout the Trimester,,Graded,No,40,Project,CVEN40210,40,At home,4,5.0,Civil Engineering,Dr Shane Donohue,Spring,21,,42.0,2.0
266,Examination: End of semester examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,75,Examination,CVEN40220,150,In person,4,10.0,Civil Engineering,Assoc Professor Patrick Purcell,Autumn,26,,195.0,7.5
267,Assignment: Practical Reports and Exercises,Varies over the Trimester,,Standard conversion grade scale 40%,No,25,Assignment,CVEN40220,50,At home,4,10.0,Civil Engineering,Assoc Professor Patrick Purcell,Autumn,26,,65.0,2.5
268,Assignment: Varies,Coursework (End of Trimester),,Graded,No,100,Assignment,CVEN40250,100,At home,4,5.0,Civil Engineering,Professor Eugene O'Brien,Autumn,0,,0.0,5.0
269,Assignment: As specified by Module coordinator,Unspecified,,Graded,No,100,Assignment,CVEN40360,50,At home,4,2.5,Civil Engineering,Professor Eugene O'Brien,Spring,0,,0.0,2.5
270,Assignment: As specified by Module coordinator,Unspecified,,Graded,No,100,Assignment,CVEN40380,200,At home,4,10.0,Civil Engineering,Professor Eugene O'Brien,Spring,0,,0.0,10.0
271,"Continuous Assessment: Weekly assessment of and reflection on planning, facilitation and management of studio sessions",Throughout the Trimester,,Standard conversion grade scale 40%,No,70,Continuous Assessment,CVEN40390,70,At home,4,5.0,Civil Engineering,Assoc Professor Amanda Gibney,Autumn,33,,115.5,3.5
272,Essay: Individual essay submission,Week 12,,Standard conversion grade scale 40%,No,30,Essay,CVEN40390,30,At home,4,5.0,Civil Engineering,Assoc Professor Amanda Gibney,Autumn,33,,49.5,1.5
273,Assignment: Case studies,Varies over the Trimester,,Graded,No,100,Assignment,CVEN40500,200,At home,4,10.0,Civil Engineering,Assoc Professor Amanda Gibney,Spring,9,,90.0,10.0
274,Examination: End of trimester exam,2 hour End of Trimester Exam,No,Graded,No,70,Examination,CVEN40550,70,In person,4,5.0,Civil Engineering,Dr Daniel McCrum,Autumn,16,,56.0,3.5
275,Assignment: Three assignments,Varies over the Trimester,,Graded,No,30,Assignment,CVEN40550,30,At home,4,5.0,Civil Engineering,Dr Daniel McCrum,Autumn,16,,24.0,1.5
276,Continuous Assessment: Multiple assignments spread across the trimester.,Varies over the Trimester,,Standard conversion grade scale 40%,No,100,Continuous Assessment,CVEN40570,100,At home,4,5.0,Civil Engineering,Dr Fiachra O'Loughlin,Spring,19,,95.0,5.0
277,Project: Final Report and oral presentation,Coursework (End of Trimester),,Graded,No,85,Project,CVEN40590,510,At home,4,30.0,Civil Engineering,Dr Abdollah Malekjafarian,Year-long (12 months),7,,178.5,25.5
278,"Assignment: Progress Reviews, technical report writing exercises, preliminary reports",Varies over the Trimester,,Other,No,15,Assignment,CVEN40590,90,At home,4,30.0,Civil Engineering,Dr Abdollah Malekjafarian,Year-long (12 months),7,,31.5,4.5
279,"Assignment: Progress Reviews, technical report writing exercises, preliminary reports",Unspecified,,Other,No,15,Assignment,CVEN40600,90,At home,4,30.0,Civil Engineering,Dr Abdollah Malekjafarian,Year-long (12 months),8,,36.0,4.5
280,Project: Final Report and oral presentation,Coursework (End of Trimester),,Graded,No,85,Project,CVEN40600,510,At home,4,30.0,Civil Engineering,Dr Abdollah Malekjafarian,Year-long (12 months),8,,204.0,25.5
281,"Continuous Assessment: 100% continuous assessment, based on a series of assignments throughout the semester.",Varies over the Trimester,,Standard conversion grade scale 40%,No,100,Continuous Assessment,CVEN40610,100,At home,4,5.0,Civil Engineering,Dr Ciaran McNally,Autumn,20,,100.0,5.0
282,Assignment: A series of in-semester assignments,Throughout the Trimester,,Standard conversion grade scale 40%,No,40,Assignment,CVEN40620,80,At home,4,10.0,Civil Engineering,Assoc Professor Patrick Purcell,Autumn,13,,52.0,4.0
283,Examination: Two hour end-of-semester examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,CVEN40620,120,At home,4,10.0,Civil Engineering,Assoc Professor Patrick Purcell,Autumn,13,,78.0,6.0
284,Class Test: MCQ type test,Varies over the Trimester,,Graded,No,10,Class Test,CVEN40690,10,In person,4,5.0,Civil Engineering,Dr David Ayala-Cabrera,Autumn,36,,18.0,0.5
285,Examination: Exam,2 hour End of Trimester Exam,No,Graded,No,60,Examination,CVEN40690,60,In person,4,5.0,Civil Engineering,Dr David Ayala-Cabrera,Autumn,36,,108.0,3.0
286,Assignment: Assignment 1,Varies over the Trimester,,Graded,No,30,Assignment,CVEN40690,30,At home,4,5.0,Civil Engineering,Dr David Ayala-Cabrera,Autumn,36,,54.0,1.5
287,Group Project: Written submission with interim presentations,Week 8,,Standard conversion grade scale 40%,No,40,Group Project,CVEN40710,40,Blended,4,5.0,Civil Engineering,Assoc Professor Amanda Gibney,Spring,30,,60.0,2.0
288,Examination: End of Trimester Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,CVEN40710,60,In person,4,5.0,Civil Engineering,Assoc Professor Amanda Gibney,Spring,30,,90.0,3.0
289,Assignment: Student assignment,Unspecified,,Graded,No,20,Assignment,CVEN40720,20,At home,4,5.0,Civil Engineering,Dr Shane Donohue,Autumn,35,,35.0,1.0
290,Class Test: Open book,Unspecified,,Graded,No,40,Class Test,CVEN40720,40,In person,4,5.0,Civil Engineering,Dr Shane Donohue,Autumn,35,,70.0,2.0
291,Class Test: Open book classtest,Unspecified,,Graded,No,40,Class Test,CVEN40720,40,In person,4,5.0,Civil Engineering,Dr Shane Donohue,Autumn,35,,70.0,2.0
292,Assignment: Student's Report and Employer's Final Report,Varies over the Trimester,,Pass/Fail Grade Scale,No,100,Assignment,CVEN40730,600,At home,4,30.0,Civil Engineering,Assoc Professor John O'Sullivan,2 Trimester duration (Spr-Sum),24,,720.0,30.0
293,Project: Final report at the end of Spring Trimester,Coursework (End of Trimester),,Graded,No,80,Project,CVEN40750,320,At home,4,20.0,Civil Engineering,Dr Daniel McCrum,2 Trimester duration (Aut-Spr),19,,304.0,16.0
294,Presentation: Presentation of final project at the end of trimester examination (viva).,Week 12,,Graded,No,5,Presentation,CVEN40750,20,In person,4,20.0,Civil Engineering,Dr Daniel McCrum,2 Trimester duration (Aut-Spr),19,,19.0,1.0
295,Assignment: Literature review due at the end of Autumn Trimester.,Week 12,,Graded,No,10,Assignment,CVEN40750,40,At home,4,20.0,Civil Engineering,Dr Daniel McCrum,2 Trimester duration (Aut-Spr),19,,38.0,2.0
296,Assignment: Research plan in Autumn Trimester.,Week 6,,Graded,No,5,Assignment,CVEN40750,20,At home,4,20.0,Civil Engineering,Dr Daniel McCrum,2 Trimester duration (Aut-Spr),19,,19.0,1.0
297,Examination: Open Book Examination,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,65,Examination,CVEN40760,130,At home,4,10.0,Civil Engineering,Professor Eugene O'Brien,Autumn,35,,227.5,6.5
298,Group Project: Group Case Study reports must be submitted once every week or two.,Throughout the Trimester,,Standard conversion grade scale 40%,No,35,Group Project,CVEN40760,70,At home,4,10.0,Civil Engineering,Professor Eugene O'Brien,Autumn,35,,122.5,3.5
299,"Continuous Assessment: assignments, tests",Throughout the Trimester,,Other,No,30,Continuous Assessment,CVEN40770,30,At home,4,5.0,Civil Engineering,Assoc Professor Arturo Gonzalez,Autumn,15,,22.5,1.5
300,Examination: End-of-trimester written exam,2 hour End of Trimester Exam,No,Other,No,70,Examination,CVEN40770,70,In person,4,5.0,Civil Engineering,Assoc Professor Arturo Gonzalez,Autumn,15,,52.5,3.5
301,"Continuous Assessment: Tutorials, In-class tests, Assignments",Throughout the Trimester,,Not yet recorded,No,20,Continuous Assessment,CVEN40780,20,At home,4,5.0,Civil Engineering,Professor Eugene O'Brien,Autumn,34,,34.0,1.0
302,Examination: End-of-trimester exam,2 hour End of Trimester Exam,No,Not yet recorded,No,80,Examination,CVEN40780,80,At home,4,5.0,Civil Engineering,Professor Eugene O'Brien,Autumn,34,,136.0,4.0
303,Project: Final Report and oral presentation,Coursework (End of Trimester),,Graded,No,85,Project,CVEN40800,510,At home,4,30.0,Civil Engineering,Dr Fiachra O'Loughlin,Year-long (12 months),0,,0.0,25.5
304,"Assignment: Progress Reviews, technical report writing exercises, preliminary reports",Varies over the Trimester,,Other,No,15,Assignment,CVEN40800,90,At home,4,30.0,Civil Engineering,Dr Fiachra O'Loughlin,Year-long (12 months),0,,0.0,4.5
305,Project: Final report and oral examination,Unspecified,,Graded,No,100,Project,CVEN40810,100,At home,4,5.0,Civil Engineering,Dr Beatriz Martinez-Pastor,Spring,1,,5.0,5.0
306,Project: Project Plan and Literature Review,Unspecified,,Graded,No,100,Project,CVEN40820,100,At home,4,5.0,Civil Engineering,Dr Beatriz Martinez-Pastor,Autumn,1,,5.0,5.0
307,Class Test: Class Test,Unspecified,,Graded,No,40,Class Test,CVEN40830,40,In person,4,5.0,Civil Engineering,Dr Fiachra O'Loughlin,Autumn,31,,62.0,2.0
308,Assignment: One large individual assignment with a number of presentations and report.,Throughout the Trimester,,Graded,No,60,Assignment,CVEN40830,60,At home,4,5.0,Civil Engineering,Dr Fiachra O'Loughlin,Autumn,31,,93.0,3.0
309,Assignment: Series of assigned exercises,Throughout the Trimester,,Graded,No,40,Assignment,CVEN40840,80,At home,4,10.0,Civil Engineering,Dr Sarah Cotterill,Spring,15,,60.0,4.0
310,Examination: Written examination,2 hour End of Trimester Exam,No,Graded,No,60,Examination,CVEN40840,120,At home,4,10.0,Civil Engineering,Dr Sarah Cotterill,Spring,15,,90.0,6.0
311,Examination: 2-Hour End of Semester Examination,2 hour End of Trimester Exam,No,Graded,No,75,Examination,CHEN10010,75,In person,1,5.0,Chem & Bioprocess Engineering,Dr Georg Pesch,Spring,63,,236.25,3.75
312,Class Test: In-class test,Week 7,,Graded,No,20,Class Test,CHEN10010,20,In person,1,5.0,Chem & Bioprocess Engineering,Dr Georg Pesch,Spring,63,,63.0,1.0
313,Continuous Assessment: Specified assignments,Week 6,,Graded,No,5,Continuous Assessment,CHEN10010,5,At home,1,5.0,Chem & Bioprocess Engineering,Dr Georg Pesch,Spring,63,,15.75,0.25
314,Assignment: Assignment 2 (Matlab),Unspecified,,Other,No,20,Assignment,CHEN10040,20,At home,1,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Autumn,300,,300.0,1.0
315,"Continuous Assessment: Laboratories are guided by Teaching Assistants/Demonstrators. Marks are awarded for these laboratories based on attendance, preparation and exercise completion (where applicable).",Throughout the Trimester,,Other,No,20,Continuous Assessment,CHEN10040,20,At home,1,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Autumn,300,,300.0,1.0
316,Assignment: Assignment 1 (Excel),Unspecified,,Other,No,20,Assignment,CHEN10040,20,At home,1,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Autumn,300,,300.0,1.0
317,Examination: End-of-Semester Examination,Week 12,No,Other,No,40,Examination,CHEN10040,40,In person,1,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Autumn,300,,600.0,2.0
318,Examination: Short Quizzes or MCQs for each topic covered in the 1st part of the module,Throughout the Trimester,No,Alternative linear conversion grade scale 40%,No,40,Examination,CHEN20020,40,In person,2,5.0,Chem & Bioprocess Engineering,Dr Recep Kaan Dereli,Autumn,36,,72.0,2.0
319,Assignment: Sets of questions for the topics covered in the 2nd part of the module,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,20,Assignment,CHEN20020,20,At home,2,5.0,Chem & Bioprocess Engineering,Dr Recep Kaan Dereli,Autumn,36,,36.0,1.0
320,Examination: End-of-Trimester Examination,2 hour End of Trimester Exam,Yes,Alternative linear conversion grade scale 40%,No,40,Examination,CHEN20020,40,In person,2,5.0,Chem & Bioprocess Engineering,Dr Recep Kaan Dereli,Autumn,36,,72.0,2.0
321,Multiple Choice Questionnaire: Introductory Concepts Test,Week 3,,Standard conversion grade scale 40%,No,10,Multiple Choice Questionnaire,CHEN20030,10,Blended,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Autumn,44,,22.0,0.5
322,Examination: End of Semester Examination,Unspecified,No,Standard conversion grade scale 40%,No,60,Examination,CHEN20030,60,In person,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Autumn,44,,132.0,3.0
323,Class Test: Mid-Semester Class Test,Week 6,,Standard conversion grade scale 40%,No,30,Class Test,CHEN20030,30,In person,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Autumn,44,,66.0,1.5
324,Assignment: Poster Presentation,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,30,Assignment,CHEN20050,30,At home,2,5.0,Chem & Bioprocess Engineering,Dr Recep Kaan Dereli,Autumn,36,,54.0,1.5
325,Examination: End of trimester exam,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,46,Examination,CHEN20050,46,In person,2,5.0,Chem & Bioprocess Engineering,Dr Recep Kaan Dereli,Autumn,36,,82.80000000000001,2.3000000000000003
326,Multiple Choice Questionnaire: MCQs for each topic cover in the 1st part of the module,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,24,Multiple Choice Questionnaire,CHEN20050,24,Blended,2,5.0,Chem & Bioprocess Engineering,Dr Recep Kaan Dereli,Autumn,36,,43.199999999999996,1.2
327,Examination: End of semester exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,70,Examination,CHEN20060,70,In person,2,5.0,Chem & Bioprocess Engineering,Dr Philip Donnellan,Spring,44,,154.0,3.5
328,Continuous Assessment: Coursework assignments,Varies over the Trimester,,Standard conversion grade scale 40%,No,30,Continuous Assessment,CHEN20060,30,At home,2,5.0,Chem & Bioprocess Engineering,Dr Philip Donnellan,Spring,44,,66.0,1.5
329,Assignment: Computer-based assignment 3,Week 12,,Other,No,12,Assignment,CHEN20070,12,At home,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Spring,38,,22.8,0.6
330,Class Test: Mid-term examination,Week 7,,Other,No,21,Class Test,CHEN20070,21,In person,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Spring,38,,39.9,1.05
331,Class Test: End-of-Semester Class Test,Week 12,,Other,No,43,Class Test,CHEN20070,43,In person,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Spring,38,,81.7,2.15
332,Assignment: Computer-based assignment 1,Week 5,,Other,No,12,Assignment,CHEN20070,12,At home,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Spring,38,,22.8,0.6
333,Assignment: Computer-based assignment 2,Week 9,,Other,No,12,Assignment,CHEN20070,12,At home,2,5.0,Chem & Bioprocess Engineering,Assoc Professor Damian Mooney,Spring,38,,22.8,0.6
334,"Continuous Assessment: Laboratory reports (safety, communication, ethical use of technology/data and vsualisation of industrial examples). PBL Final report, design report, reflective journal and associated assignments.",Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,100,Continuous Assessment,CHEN20080,200,At home,2,10.0,Chem & Bioprocess Engineering,Dr Roderick Jones,Autumn,35,,350.0,10.0
335,Continuous Assessment: In-class tests/assignments,Throughout the Trimester,,Graded,No,30,Continuous Assessment,CHEN20090,30,At home,2,5.0,Chem & Bioprocess Engineering,Professor Niall Barron,Spring,23,,34.5,1.5
336,Examination: End of Semester Exam,2 hour End of Trimester Exam,No,Graded,No,70,Examination,CHEN20090,70,In person,2,5.0,Chem & Bioprocess Engineering,Professor Niall Barron,Spring,23,,80.5,3.5
337,Assignment: Peer to Peer Teach to Learn Video Tutorial Assignment. Students will make a video tutorial outlining how to solve a number of reaction engineering problems for a provided dataset.,Varies over the Trimester,,Graded,No,10,Assignment,CHEN30010,10,At home,3,5.0,Chem & Bioprocess Engineering,Assoc Professor Steven Ferguson,Autumn,53,,26.5,0.5
338,Class Test: Midterm exam based on Single Reaction Course Problem set.,Unspecified,,Graded,No,20,Class Test,CHEN30010,20,In person,3,5.0,Chem & Bioprocess Engineering,Assoc Professor Steven Ferguson,Autumn,53,,53.0,1.0
339,Examination: Final Examination,2 hour End of Trimester Exam,No,Graded,No,70,Examination,CHEN30010,70,In person,3,5.0,Chem & Bioprocess Engineering,Assoc Professor Steven Ferguson,Autumn,53,,185.5,3.5
340,Assignment: Assignments that will take place during the trimester,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,30,Assignment,CHEN30020,30,At home,3,5.0,Chem & Bioprocess Engineering,Dr Eoin Syron,Autumn,45,,67.5,1.5
341,Examination: Online end of Trimester exam,2 hour End of Trimester Exam,Yes,Alternative linear conversion grade scale 40%,No,40,Examination,CHEN30020,40,In person,3,5.0,Chem & Bioprocess Engineering,Dr Eoin Syron,Autumn,45,,90.0,2.0
342,Continuous Assessment: Continuous Assessment,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,30,Continuous Assessment,CHEN30020,30,At home,3,5.0,Chem & Bioprocess Engineering,Dr Eoin Syron,Autumn,45,,67.5,1.5
343,Assignment: Problem Sheet 1,Week 4,,Graded,No,10,Assignment,CHEN30030,10,At home,3,5.0,Chem & Bioprocess Engineering,Dr Georg Pesch,Autumn,45,,22.5,0.5
344,Assignment: Problem Sheet 2,Week 9,,Graded,No,15,Assignment,CHEN30030,15,At home,3,5.0,Chem & Bioprocess Engineering,Dr Georg Pesch,Autumn,45,,33.75,0.75
345,Examination: End of Semester Examination,2 hour End of Trimester Exam,No,Graded,No,75,Examination,CHEN30030,75,In person,3,5.0,Chem & Bioprocess Engineering,Dr Georg Pesch,Autumn,45,,168.75,3.75
346,Examination: End of semester exam,2 hour End of Trimester Exam,No,Graded,No,60,Examination,CHEN30040,60,In person,3,5.0,Chem & Bioprocess Engineering,Assoc Professor Susan McDonnell,Autumn,45,,135.0,3.0
347,Assignment: Term paper: Each student will be assigned a primary research paper that they must critically evaluate.,Varies over the Trimester,,Graded,No,30,Assignment,CHEN30040,30,At home,3,5.0,Chem & Bioprocess Engineering,Assoc Professor Susan McDonnell,Autumn,45,,67.5,1.5
348,Seminar: There will be a weekly series of seminars given by professional engineers and students must write a short report on these sessions.,Throughout the Trimester,,Graded,No,10,Seminar,CHEN30040,10,In person,3,5.0,Chem & Bioprocess Engineering,Assoc Professor Susan McDonnell,Autumn,45,,22.5,0.5
349,Assignment: Coursework assignments,Varies over the Trimester,,Standard conversion grade scale 40%,No,30,Assignment,CHEN30130,30,At home,3,5.0,Chem & Bioprocess Engineering,Dr Philip Donnellan,Spring,50,,75.0,1.5
350,Examination: End of Semester Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,70,Examination,CHEN30130,70,In person,3,5.0,Chem & Bioprocess Engineering,Dr Philip Donnellan,Spring,50,,175.0,3.5
